Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus,Priority,LinesAdded,LinesDeleted,CommitCount,DeveloperCount,BugFixCount,CumulativeDeveloperCount,AverageTimeBetweenChanges,CumulativeCommitCount,ChangedComments,UnchangedComments,CumulativeChangedComments,CumulativeUnchangedComments,CumulativeAverageTimeBetweenChanges,AverageExpertise,MinimumExpertise
AMReporter.java,11.0,0.0,11.0,0.0,2.0,3.0,41.0,41.0,0.0,9.0,0.0,1.0,32.0,0.0,32.0,32.0,29.0,32.0,10.0,8.0,0.0,3.0,21.0,52.0,476.0,56.0,380.0,146.0,197.0,40.0,46.0,186.0,250.0,129.0,143.0,16.0,8.0,2.0,4.0,21.333333333333332,21.333333333333332,"0,11",58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,545.0,67.0,14.0,4.0,3.0,4.0,4772.285714285715,14.0,0.0,14.0,0.0,14.0,4772.285714285715,3.5,1.0
ASTBuilder.java,12.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,18.0,0.0,18.0,4.0,1.0,18.0,0.0,18.0,0.0,0.0,0.0,170.0,276.0,29.0,223.0,60.0,154.0,24.0,83.0,123.0,149.0,56.0,108.0,46.0,23.0,0.0,2.0,0.0,0.0,"0,11",46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1.0,3.0,585.0,267.0,14.0,6.0,0.0,6.0,999880.9285714284,14.0,0.0,14.0,0.0,14.0,999880.9285714284,2.3333333333333335,1.0
ASTConverter.java,17.0,1.0,14.0,2.0,3.0,1.0,39.0,39.0,0.0,7.0,2.0,2.0,34.0,0.0,34.0,32.0,24.0,34.0,9.0,9.0,8.0,2.0,15.0,58.0,733.0,98.0,555.0,219.0,329.0,80.0,97.0,294.0,432.0,220.0,279.0,38.0,14.0,1.0,4.0,81.0,59.0,"0,14",117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1.0,3.0,1651.0,892.0,28.0,13.0,0.0,13.0,501241.21428571426,28.0,0.0,28.0,0.0,28.0,501241.21428571426,2.1538461538461537,1.0
ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,1.0,6.0,6.0,0.0,1.0,0.0,1.0,5.0,0.0,5.0,5.0,1.0,5.0,31.0,0.0,0.0,0.0,5.0,4.0,49.0,8.0,21.0,18.0,6.0,20.0,8.0,12.0,18.0,13.0,5.0,4.0,1.0,3.0,0.0,0.0,0.0,"0,95",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTNode.java,10.0,1.0,8.0,1.0,2.0,3.0,12.0,12.0,1.0,1.0,0.0,1.0,26.0,0.0,26.0,26.0,7.0,26.0,26.0,0.0,8.0,0.0,18.0,264.0,350.0,53.0,240.0,75.0,133.0,57.0,92.0,123.0,178.0,67.0,129.0,55.0,11.0,2.0,4.0,88.0,71.0,"0,24",58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1.0,4.0,714.0,82.0,9.0,5.0,0.0,5.0,46435.444444444445,9.0,0.0,9.0,0.0,9.0,46435.444444444445,1.8,1.0
ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,6.0,5.0,6.0,6.0,0.0,0.0,0.0,6.0,11.0,95.0,9.0,31.0,14.0,10.0,55.0,5.0,16.0,23.0,13.0,10.0,5.0,1.0,1.0,0.0,67.0,67.0,"1,77",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATSHook.java,15.0,1.0,14.0,2.0,1.0,4.0,43.0,43.0,0.0,7.0,0.0,6.0,15.0,0.0,7.0,15.0,13.0,15.0,7.0,3.0,0.0,0.0,12.0,54.0,227.0,27.0,178.0,68.0,118.0,37.0,61.0,109.0,128.0,62.0,89.0,17.0,8.0,2.0,2.0,20.0,20.0,"0,21",19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",1.0,3.0,222.0,103.0,19.0,11.0,0.0,11.0,167251.36842105264,19.0,0.0,19.0,0.0,19.0,167251.36842105264,1.7272727272727273,1.0
AbortDroneException.java,3.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,29.0,1.0,10.0,5.0,3.0,18.0,0.0,4.0,7.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,"1,80",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbortTxnRequest.java,7.0,0.0,6.0,1.0,2.0,5.0,36.0,36.0,0.0,6.0,3.0,6.0,38.0,0.0,36.0,35.0,5.0,38.0,24.0,1.0,2.0,0.0,35.0,68.0,387.0,64.0,297.0,104.0,144.0,29.0,55.0,139.0,207.0,91.0,124.0,47.0,5.0,1.0,3.0,71.0,44.0,"0,10",61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,82.0,62.0,15.0,7.0,0.0,7.0,6991.8,15.0,0.0,15.0,0.0,15.0,6991.8,2.142857142857143,1.0
AbstractBucketJoinProc.java,38.0,3.0,32.0,3.0,7.0,2.0,40.0,40.0,2.0,1.0,2.0,0.0,11.0,0.0,12.0,10.0,1.0,12.0,12.0,0.0,4.0,3.0,5.0,44.0,515.0,52.0,395.0,155.0,236.0,69.0,118.0,193.0,282.0,137.0,205.0,73.0,26.0,1.0,6.0,73.0,73.0,"0,17",75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,78.0,64.0,6.0,6.0,0.0,6.0,12409.0,6.0,0.0,6.0,0.0,6.0,12409.0,1.0,1.0
AbstractCommandHandler.java,7.0,0.0,7.0,0.0,2.0,2.0,9.0,9.0,1.0,1.0,0.0,0.0,8.0,0.0,8.0,8.0,6.0,8.0,8.0,0.0,0.0,0.0,8.0,11.0,110.0,18.0,67.0,30.0,26.0,25.0,10.0,31.0,46.0,24.0,24.0,11.0,5.0,1.0,2.0,73.0,73.0,"0,37",13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,12.0,12.0,1.0,1.0,0.0,1.0,4241997.0,1.0,0.0,1.0,0.0,1.0,4241997.0,1.0,1.0
